DATE,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2020-10-30,339.700012,359.850006,2119.449951,2211.5,492.5,2886.899902,3309.0,557.349976,354.450012,433.75,3473.25,754.5,114.199997,3142.050049,4888.649902,2085.600098,778.349976,841.950012,1183.550049,589.75,2799.800049,170.649994,2071.300049,1923.550049,392.600006,165.25,585.700012,1060.599976,309.0,1547.400024,929.5,594.0,6965.149902,87.599998,17161.599609,64.900002,128.250031,2054.5,769.150024,189.25,465.75,2664.850098,492.850006,132.649994,41.055,813.299988,1165.75,453.25,4574.049805,340.700012
2020-11-02,341.100006,356.899994,2069.300049,2172.850098,522.650024,2843.699951,3419.800049,570.14502,346.399994,457.399994,3420.300049,751.25,115.699997,3048.649902,4858.649902,2029.650024,787.849976,822.400024,1215.25,587.5,2835.649902,170.75,2072.0,2040.800049,417.450012,166.75,628.349976,1072.300049,309.350006,1580.699951,929.299988,596.049988,6868.350098,89.199997,17114.949219,65.699997,129.787537,1877.449951,766.049988,196.050003,469.399994,2604.600098,493.75,132.850006,40.285,814.650024,1168.5,445.350006,4550.799805,334.799988
2020-11-03,344.799988,353.649994,2111.350098,2154.649902,534.150024,2914.850098,3490.800049,574.359985,350.850006,454.600006,3403.649902,759.299988,116.5,3089.899902,4877.350098,2095.0,791.150024,814.049988,1247.949951,599.049988,2937.399902,179.75,2055.699951,2130.949951,443.850006,170.100006,646.599976,1062.550049,314.75,1593.599976,947.75,595.799988,6913.350098,85.949997,16892.5,66.300003,134.96254,1850.400024,788.900024,204.75,485.600006,2633.600098,489.5,134.100006,40.689999,808.099976,1199.949951,417.049988,4549.549805,335.649994
2020-11-04,351.850006,361.100006,2103.600098,2169.449951,525.150024,2926.100098,3561.449951,581.184998,348.850006,453.049988,3470.699951,781.150024,114.800003,3196.199951,4935.600098,2097.399902,783.099976,815.150024,1257.400024,594.25,2968.0,176.5,2060.050049,2088.199951,437.049988,169.800003,678.049988,1093.949951,317.850006,1630.699951,939.849976,596.799988,6954.049805,85.099998,16997.099609,66.449997,132.825027,1913.199951,791.0,207.0,504.649994,2653.149902,492.75,135.899994,40.389999,826.849976,1215.650024,401.350006,4531.600098,342.950012
2020-11-05,352.75,368.649994,2122.600098,2238.300049,539.299988,2949.300049,3736.899902,605.515015,366.299988,457.299988,3499.25,793.5,119.849998,3209.0,4958.5,2119.800049,804.400024,842.900024,1269.199951,592.049988,2944.350098,187.350006,2102.350098,2100.699951,438.5,174.75,714.400024,1104.0,327.700012,1675.449951,958.099976,602.099976,7092.799805,86.800003,17221.300781,67.599998,134.287537,1955.0,805.0,218.649994,512.5,2685.699951,506.450012,137.649994,42.549999,840.700012,1242.099976,418.399994,4617.899902,345.399994
2020-11-06,352.100006,371.100006,2085.899902,2209.050049,541.75,2977.399902,3780.75,628.64502,362.450012,449.899994,3513.550049,789.950012,121.800003,3237.25,4902.950195,2139.050049,794.349976,850.099976,1307.650024,590.599976,2945.449951,188.149994,2094.149902,2138.449951,442.799988,173.949997,738.650024,1112.75,326.450012,1718.050049,960.75,613.599976,6907.600098,87.300003,17006.650391,68.0,133.83754,2029.150024,801.25,219.199997,509.149994,2707.449951,504.200012,139.0,42.650002,851.150024,1253.5,422.399994,4556.0,345.75
2020-11-09,357.899994,367.049988,2084.399902,2225.199951,565.049988,3001.949951,3865.0,628.335022,375.549988,471.799988,3548.300049,763.200012,121.75,3423.75,4879.649902,2192.850098,792.150024,855.0,1340.550049,592.849976,2954.25,194.699997,2132.550049,2152.100098,462.700012,172.800003,775.450012,1136.550049,333.100006,1728.150024,965.849976,616.349976,6872.149902,89.449997,17332.0,68.449997,138.037537,2050.699951,808.150024,219.5,510.149994,2726.600098,509.850006,141.0,43.830002,872.75,1285.050049,426.75,4625.25,351.950012
2020-11-10,359.5,366.75,2033.400024,2199.75,583.599976,2997.5,4208.549805,668.765015,382.799988,466.399994,3508.350098,717.299988,124.800003,3263.399902,4698.0,2234.850098,789.5,809.700012,1393.650024,609.650024,2951.25,192.350006,2136.600098,2272.100098,483.850006,178.350006,835.200012,1091.050049,334.799988,1752.949951,1033.699951,619.950012,6793.450195,91.5,16604.75,70.75,139.425034,2084.550049,829.400024,231.699997,490.899994,2649.600098,498.399994,146.0,44.189999,821.299988,1305.400024,432.799988,4719.549805,342.299988
2020-11-11,360.100006,371.600006,2195.350098,2181.699951,608.650024,3023.100098,4268.799805,694.47998,394.0,478.600006,3492.75,742.349976,125.849998,3353.149902,4882.149902,2326.699951,803.099976,826.049988,1389.949951,623.450012,3060.149902,204.050003,2131.149902,2324.300049,486.549988,185.300003,787.950012,1122.5,342.75,1807.849976,1059.449951,633.200012,6857.350098,92.900002,16697.599609,72.349998,142.237534,1997.199951,839.549988,234.199997,506.049988,2687.800049,503.450012,150.949997,47.395,837.5,1274.699951,435.700012,4823.799805,346.75
2020-11-12,365.549988,368.049988,2110.449951,2171.800049,599.700012,3017.449951,4298.299805,702.619995,394.649994,479.850006,3515.300049,739.700012,122.099998,3367.050049,4826.850098,2350.75,826.950012,824.700012,1371.699951,630.400024,3085.800049,208.600006,2192.100098,2332.100098,476.700012,188.0,769.200012,1117.75,338.0,1754.75,1073.199951,632.700012,6836.850098,90.800003,16718.599609,71.550003,142.125031,1980.0,837.75,226.800003,509.25,2671.050049,508.75,151.199997,47.314999,843.25,1278.099976,429.600006,4846.100098,345.549988
2020-11-13,368.600006,365.5,2265.800049,2179.949951,610.349976,3040.75,4376.049805,726.109985,394.0,475.75,3514.449951,744.650024,125.900002,3432.949951,4856.899902,2514.600098,841.349976,828.099976,1358.800049,627.5,3128.899902,210.550003,2185.350098,2306.75,485.549988,187.100006,768.549988,1124.199951,343.200012,1763.300049,1051.5,629.849976,6809.25,91.449997,16825.650391,72.150002,141.637527,1996.400024,831.849976,229.449997,508.450012,2656.850098,513.25,146.350006,48.654999,838.849976,1288.449951,425.350006,4899.75,344.149994
2020-11-14,371.25,366.100006,2284.649902,2184.600098,613.150024,3041.899902,4374.799805,733.554993,412.850006,481.5,3527.350098,745.75,127.099998,3444.949951,4872.049805,2540.550049,838.599976,830.5,1369.699951,636.099976,3115.699951,209.300003,2187.699951,2311.25,486.899994,188.600006,770.450012,1133.449951,341.950012,1770.550049,1059.199951,631.349976,6852.25,90.900002,16838.150391,72.650002,141.000031,2002.300049,840.450012,229.649994,514.0,2670.350098,516.150024,148.850006,49.220001,840.150024,1286.800049,429.25,4908.200195,345.450012
